,OS: Windows 10 | Browser: Microsoft Edge 123 | Resolution: 1920x1040 | Time: 17 Apr 2024 / 7:56:2  PDT
#,Step,Data,Exp Result,XPath,cssSelector
1,Open website,https://datamakerjs-f3b6b7d13de0.herokuapp.com/,,,
2,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
3,select "sequenceschemaexample" from "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",sequenceschemaexample,,//select[@id='schemalist'],#schemalist
4,Enter "6" into "5",6,,//input[@id='numberofexamples'],#numberofexamples
5,Click on "Select a schema namespace Select a schema Number of examples",,,//body/div/span[1],body > div:nth-child(3) > span:nth-child(1)
6,Click on "Edit",,,//button[@id='editschemadef'],#editschemadef
7,Click on "schemadefjson",,,//textarea[@id='schemadefjson'],#schemadefjson
8,Click on "bodyElement",,,//body,body
9,Click on "htmlElement",,,//html,html
10,Click on "Select a schema namespace Select a schema Number of examples",,,//body//div//span,body > div:nth-child(3) > span:nth-child(1)
11,Click on "Select a schema namespace Select a schema Number of examples",,,//body//div//span,body > div:nth-child(3) > span:nth-child(1)
12,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
13,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
14,Click on "htmlElement",,,//html,html
15,Enter "7" into "5",7,,//input[@id='numberofexamples'],#numberofexamples
16,Click on "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",,,//select[@id='schemalist'],#schemalist
17,select "rangedtof" from "defaultschemadefaultchoiceschemaexamplereferenceschemaexamplesequenceschemaexamplerangealphaschemaex",rangedtof,,//select[@id='schemalist'],#schemalist
